UID,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,Target_ChurnFlag,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,X129,X130,X131,X132,X133,X134,X135,X136,X137,X138,X139,X140,X141,X142,X143,X144,X145,X146,X147,X148,X149,X150,X151,X152,X153,X154,X155,X156,X157,X158,X159,X160,X161,X162,X163,X164,X165,X166,X167,X168,X169,X170,X171,X172,X173,X174,X175,X176,X177,X178,X179,X180,X181,X182,X183,X184,X185,X186,X187,X188,X189,X190,X191,X192,X193,X194,X195,X196,X197,X198,X199,X200,X201,X202,X203,X204,X205,X206,X207,X208,X209,X210,X211,X212,X213,X214,X215
1042533-5100,12 month lease,866.0,2015-02-16,2016-02-14,2015-09-30,2004-05-01,2004-05-01,2015-09-30,2015-09-14,,False,,866.0,0,0,1,,12,6-12 months,9,9,7,0,0,0,0,0,1,1,2016,2015-02-16,2015-09-30,0,0,841.0,0.029726516,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,8,9,1,9,1,0,6,2.5555556,2.2222223,9,0,0,0,0,0,3,1,2,1,0,0,1,1,0,-1,-1,-1,,-1.0,-1.0,1,1,1,0,1,0,0,1,0,1,89,,,-1.0,89.0,89,89,0,1,0.0,,21,5,25,1,1,1,0,1,1,671.0,671.0,1.0,1.0,0,4,12.0,12,12,0,22,0.75,8,0,24,1,8,0,0,13.625,12,17,0,22,0.75,8,0,24,1,18105,360,ACTIVE,Franklin,TN,37067-8529,18105,Nashville TN,B,Garden,suburban,Franklin/Brentwood,0,49,14,622,685,"Nashville-Davidson--Murfreesboro--Franklin, TN",Franklin/Brentwood,0.9353,1289.0,0.0169,2015-Q1,2015-01-01,1001.0,1001.0,0.8651348651348651,0.8651348651348651,0.6666666666666666,0.75,0.0833333333333333,0.75,0.0833333333333333,0.0,0.5,0.2129629651705424,0.1851851940155029,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0833333333333333,0.1666666666666666,0.0833333333333333,0.0,0.0,0.0833333333333333,0.0833333333333333,0.0,2.75,0.09375,1.0,0.0,3.0,0.125,2.4444444444444446,0.0833333333333333,0.8888888888888888,0.0,2.6666666666666665,0.1111111111111111,1.0,1.290611,1.0,1.9027777777777777,0.0
1028972-15194,14 month lease,1237.0,2018-11-06,2019-12-31,2019-12-31,2018-11-06,2018-11-06,2019-12-31,2019-09-21,,False,,1237.0,0,0,1,,13,1-3 years,1,15,3,1,0,0,0,0,1,1,2019,2018-11-06,2019-12-31,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,7,7,2,7,4,0,2,2.142857,1.4285715,7,0,0,0,0,0,1,2,1,2,1,0,0,0,0,1,0,1,2474.0,-1.0,-1.0,2,2,2,0,2,0,1,1,0,2,21,Retail / Sales,Construction,826.1024,21.0,21,21,0,2,49920.0,Retail / Sales,21,3,26,0,0,1,0,2,3,980.0,980.0,2.0,2.0,-1,-1,-1.0,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,14,0,8,12.714286,11,15,3,118,1.752,52,0,125,5,17104,256,ACTIVE,Sanford,FL,32771-6739,17104,Orlando,B,Garden,suburban,Sanford/Lake Mary,0,0,0,484,484,"Orlando-Kissimmee-Sanford, FL",Sanford/Lake Mary,0.9642,1190.0,0.0005,2018-Q4,2018-10-01,1189.5,1189.5,1.0399327448507776,1.0399327448507776,0.5384615384615384,0.5384615384615384,0.1538461538461538,0.5384615384615384,0.3076923076923077,0.0,0.1538461538461538,0.164835159595196,0.1098901125100942,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.1538461538461538,0.0769230769230769,0.1538461538461538,0.0769230769230769,0.0,0.0,0.0,0.0,8.428571428571429,0.1251428553036281,3.7142857142857135,0.0,8.928571428571429,0.3571428571428571,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.2622449,1.0,1.890625,0.5714285714285714
1005721-48170,14 month lease,2263.0,2019-04-30,2020-06-27,,2019-04-30,2019-04-30,,,,False,,2263.0,0,0,1,2020-06-28,14,1-3 years,1,17,3,1,0,0,0,0,1,0,2020,2019-04-30,2020-06-27,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4526.0,-1.0,-1.0,1,1,1,0,1,0,1,0,0,1,40,,,-1.0,40.0,40,40,1,1,0.0,,22,4,33,1,1,0,0,1,1,1163.0,1163.0,2.0,2.0,-1,-1,-1.0,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,16,0,13,11.8125,6,14,6,74,2.364486,71,0,107,4,40005,384,ACTIVE,Costa Mesa,CA,92626-5300,40005,Orange County,B,Garden,suburban,Costa Mesa,-1,-1,-1,-1,-1,"Anaheim-Santa Ana-Irvine, CA",Costa Mesa,0.9668,2095.0,0.008,2019-Q2,2019-04-01,2368.5,2368.5,0.9554570403208782,0.9554570403208782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.625,0.1477803736925125,4.4375,0.0,6.6875,0.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.9458297,2.0,-0.0026041666666666,0.8125
2578414-42769,12 month lease,3314.0,2019-05-27,2020-05-17,,2013-09-06,2013-09-06,,,,False,,3314.0,0,0,1,2020-05-18,12,6-12 months,7,12,3,0,0,0,0,0,1,0,2020,2019-05-27,2020-05-17,0,0,3171.0,0.045096185,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2,2,1,2,0,0,2,0.0,0.0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,6628.0,6342.0,0.045096185,1,1,1,0,1,0,0,1,0,1,31,,,1.1645824,31.0,31,31,0,1,1.0,,16,4,16,1,0,0,1,1,8,731.0,731.0,1.0,1.0,0,6,11.166667,8,12,0,48,0.5,17,0,48,3,11,0,3,8.727273,2,12,1,53,0.4716981,20,0,53,3,10324,292,ACTIVE,Washington,DC,20005-4201,10324,Metro DC,A,High Rise,urban,Central DC,0,232,0,0,232,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Central DC,0.9611,2510.0,0.0189,2019-Q2,2019-04-01,2776.0,2776.0,1.1938040345821326,1.1938040345821326,0.1666666666666666,0.1666666666666666,0.0833333333333333,0.1666666666666666,0.0,0.0,0.1666666666666666,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,4.818181818181818,0.0428816459395668,1.818181818181818,0.0,4.818181818181818,0.2727272727272727,6.857142857142857,0.0714285714285714,2.4285714285714284,0.0,6.857142857142857,0.4285714285714285,1.0,4.533516,1.0,0.7945205479452054,0.2727272727272727
2335222-64657,13 month lease,1299.0,2019-03-29,2020-04-19,,2019-03-29,2019-03-29,,,,False,,1299.0,0,0,1,2020-04-20,13,1-3 years,1,11,4,1,0,0,0,0,1,0,2020,2019-03-29,2020-04-19,0,0,-1.0,-1.0,10.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,10.0,2.0,2.0,10.0,6.3333335,-8.0,-0.8,1,3,3,1,3,2,0,1,1.3333334,0.6666667,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,2598.0,-1.0,-1.0,1,1,1,0,1,0,0,1,0,1,32,,,-1.0,32.0,32,32,0,1,0.0,,19,6,17,1,1,0,1,2,5,759.0,759.0,1.0,1.0,-1,-1,-1.0,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,10,1,8,11.5,3,14,4,36,2.3275862,33,0,58,5,11016,379,ACTIVE,Towson,MD,21204-2546,11016,Baltimore,A,High Rise,suburban,Towson/Hunt Valley,0,0,64,561,625,"Baltimore-Columbia-Towson, MD",Towson/Hunt Valley,0.9519,1381.0,0.0116,2019-Q1,2019-01-01,1413.0,1413.0,0.9193205944798302,0.9193205944798302,0.2307692307692307,0.2307692307692307,0.0769230769230769,0.2307692307692307,0.1538461538461538,0.0,0.0769230769230769,0.102564105620751,0.0512820528103755,0.2307692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1538461538461538,0.0,0.0,0.0,0.0,0.0769230769230769,0.0,3.6,0.232758617401123,3.3,0.0,5.8,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.7114625,1.0,1.6490765171503958,0.9
4529321-179,12 month lease,2510.0,2019-02-25,2020-03-24,,2019-02-25,2019-02-25,,,,False,,2510.0,0,0,1,2020-03-25,13,1-3 years,1,1,4,1,1,0,0,0,1,0,2020,2019-02-25,2020-03-24,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,9.0,1.0,1.0,9.0,5.0,-1.0,-1.0,0,6,7,1,7,0,0,6,0.14285715,0.0,7,0,0,0,0,0,1,1,0,0,0,0,0,4,0,1,1,0,5020.0,-1.0,-1.0,3,3,2,1,2,1,0,1,1,1,32,Entertainment Industry,,-1.0,32.0,32,32,1,3,72000.0,Entertainment Industry,20,6,9,3,5,1,1,1,1,1108.0,1108.0,2.0,2.0,-1,-1,-1.0,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,12106,200,ACTIVE,Waltham,MA,02453-8363,12106,Boston,B,Podium,suburban,Waltham/Newton/Lexington,-1,-1,-1,-1,-1,"Boston-Cambridge-Newton, MA-NH",Waltham/Newton/Lexington,0.95,2626.0,0.0086,2019-Q1,2019-01-01,3194.5,3194.5,0.7857254656440757,0.7857254656440757,0.4615384615384615,0.5384615384615384,0.0769230769230769,0.5384615384615384,0.0,0.0,0.4615384615384615,0.010989011480258,0.0,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.265343,0.6666666666666666,-0.005,-1.0
1310643-43919,14 month lease,2375.0,2016-09-09,2017-11-11,,2016-09-09,2016-09-09,,,,False,,2375.0,0,0,1,2017-11-12,14,1-3 years,1,11,6,1,0,0,0,0,1,0,2017,2016-09-09,2017-11-11,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,10.0,1.0,1.0,10.0,5.5,-1.0,-1.0,1,13,13,1,13,2,0,3,1.1538461,0.30769232,13,0,0,0,0,0,5,0,4,1,2,0,0,1,0,0,0,0,0.0,-1.0,-1.0,3,3,2,1,2,1,0,2,0,2,33,,,-1.0,43.0,33,53,0,2,0.0,,24,5,28,3,0,1,1,1,1,1037.0,1037.0,2.0,2.0,-1,-1,-1.0,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,10,1,5,11.0,0,22,3,28,1.5517242,20,0,29,6,40029,296,ACTIVE,Costa Mesa,CA,92626-4957,40029,Orange County,B,Garden,suburban,Costa Mesa,-1,-1,-1,-1,-1,"Anaheim-Santa Ana-Irvine, CA",Costa Mesa,0.9659,1932.0,0.0257,2016-Q3,2016-07-01,2454.0,2423.5,0.9678076609616952,0.9799876212089952,0.9285714285714286,0.9285714285714286,0.0714285714285714,0.9285714285714286,0.1428571428571428,0.0,0.2142857142857142,0.0824175817625863,0.0219780227967671,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.0,0.2857142857142857,0.0714285714285714,0.1428571428571428,0.0,0.0,0.0714285714285714,0.0,2.8,0.1551724195480346,2.0,0.0,2.9,0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.2902603,0.6666666666666666,-0.0033783783783783,0.6
2102851-2193,12 month lease,1566.0,2016-01-27,2017-01-22,2017-01-22,2016-01-27,2016-01-27,2017-01-22,2017-01-20,,False,,1566.0,0,0,1,,12,6-12 months,1,7,6,1,0,0,0,0,1,1,2017,2016-01-27,2017-01-22,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,7,7,1,7,4,0,2,3.142857,2.4285715,7,0,0,0,0,0,1,2,2,2,0,0,0,0,0,-1,-1,-1,,-1.0,-1.0,3,2,2,0,2,0,1,0,0,2,28,,Professional,92.040955,27.666666,27,28,2,3,158000.0,Professional,28,5,29,1,0,0,1,2,2,1078.0,1078.0,2.0,2.0,-1,-1,-1.0,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,6,0,5,12.666667,10,14,2,38,0.75,14,0,44,2,17999,252,ACTIVE,Tampa,FL,33606,17999,Tampa FL,A,High Rise,urban,Central Tampa,0,0,102,338,440,"Tampa-St. Petersburg-Clearwater, FL",Central Tampa,0.9532,1562.0,0.0043,2016-Q1,2016-01-01,1729.0,1729.0,0.905725853094274,0.905725853094274,0.5833333333333334,0.5833333333333334,0.0833333333333333,0.5833333333333334,0.3333333333333333,0.0,0.1666666666666666,0.2619047562281291,0.2023809552192688,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,6.333333333333333,0.125,2.333333333333333,0.0,7.333333333333333,0.3333333333333333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.4526901,1.0,1.746031746031746,0.8333333333333334
1023394-2724,12 month lease,2328.0,2015-08-10,2016-08-10,2016-08-10,2015-08-10,2015-08-10,,,,False,,2328.0,0,0,1,2016-08-11,12,6-12 months,1,13,6,1,0,0,0,0,1,0,2016,2015-08-10,2016-08-10,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,8,8,1,8,5,0,1,4.625,3.75,8,0,0,0,0,0,2,0,0,2,0,0,1,1,0,0,0,0,0.0,-1.0,-1.0,1,1,1,0,1,0,0,1,0,1,34,,,8.520269,34.0,34,34,1,1,70000.0,,24,4,26,4,1,1,0,0,1,800.0,800.0,1.0,1.0,-1,-1,-1.0,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,12,0,6,10.5,2,14,0,26,0.95454544,16,0,22,5,40201,184,ACTIVE,Mountain View,CA,94040-1991,40201,SF Bay Area,B,Garden,suburban,Mountain View/Palo Alto/Los Altos,0,201,11,132,344,"San Jose-Sunnyvale-Santa Clara, CA",Mountain View/Palo Alto/Los Altos,0.9544,3151.0,0.0076,2015-Q3,2015-07-01,2455.0,2455.0,0.9482688391038696,0.9482688391038696,0.6666666666666666,0.6666666666666666,0.0833333333333333,0.6666666666666666,0.4166666666666667,0.0,0.0833333333333333,0.3854166666666667,0.3125,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.1666666666666666,0.0,0.0,0.0833333333333333,0.0833333333333333,0.0,2.1666666666666665,0.0795454531908035,1.3333333333333333,0.0,1.8333333333333333,0.4166666666666667,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.91,1.0,1.8695652173913044,0.5
1310640-95890,12 month lease,707.5,2018-09-03,2019-09-01,,2015-11-20,2015-11-20,,,,False,,1415.0,0,0,1,2019-09-02,12,6-12 months,4,16,4,0,0,0,0,0,1,0,2019,2018-09-03,2019-09-01,0,0,1480.0,-0.04391892,-1.0,-1.0,-1.0,7.0,5.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,7.0,3.0,1.0,7.0,4.0,-4.0,-0.5714286,0,3,3,1,3,3,0,0,14.0,13.0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2830.0,2960.0,-0.04391892,2,2,2,1,2,0,1,1,0,2,44,Retail / Sales,,394.47556,44.0,44,44,2,2,50000.0,Retail / Sales,17,4,21,1,0,1,0,1,3,1053.0,1053.0,2.0,2.0,0,3,11.333333,10,12,0,11,0.8333333,4,0,12,0,15,0,9,8.8,2,13,5,61,1.0,27,0,69,0,94213,1044,ACTIVE,Plano,TX,75024-3585,94213,Dallas TX,A,High Rise,suburban,West Plano,0,307,0,886,1193,"Dallas-Plano-Irving, TX",West Plano,0.9492,1269.0,0.0062,2018-Q3,2018-07-01,1512.5,1512.5,0.9355371900826446,0.9355371900826446,0.25,0.25,0.0833333333333333,0.25,0.25,0.0,0.0,1.1666666666666667,1.0833333333333333,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,4.066666666666666,0.0666666666666666,1.8,0.0,4.6,0.0,2.75,0.2083333283662796,1.0,0.0,3.0,0.0,1.0,1.3437797,1.0,1.14272030651341,0.6
1010644-16104,12 month lease,1415.0,2016-06-04,2017-05-21,,2008-06-24,2008-06-24,,,,False,,1415.0,0,0,1,2017-05-22,11,6-12 months,9,12,7,0,0,0,0,0,1,0,2017,2016-06-04,2017-05-21,0,0,1417.0,-0.0014114326,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,,-1.0,-1.0,2,2,1,0,2,0,1,1,1,1,60,,Retail / Sales,42.852978,59.5,59,60,0,2,30000.0,Retail / Sales,20,7,21,0,1,2,1,3,1,870.0,870.0,2.0,1.0,0,6,11.833333,11,12,1,24,0.29268292,26,0,41,0,11,1,1,11.818182,11,12,2,24,0.29268292,26,0,41,0,10314,372,ACTIVE,Manassas,VA,20110-6704,10314,Metro DC,B,Garden,suburban,Manassas/Far Southwest Suburbs,0,0,70,783,853,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Manassas/Far Southwest Suburbs,0.9712,1340.0,0.0283,2016-Q2,2016-04-01,1491.5,1491.5,0.9487093530003352,0.9487093530003352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1818181818181817,0.0266075378114526,2.363636363636364,0.0,3.727272727272727,0.0,2.6666666666666665,0.0325203239917755,2.888888888888889,0.0,4.555555555555555,0.0,2.0,1.6264368,1.0,2.293010752688172,0.1818181818181818
3755698-11699,12 month lease,1778.0,2016-07-23,2017-07-18,,2010-07-23,2010-07-23,,,,False,,1778.0,0,0,1,2017-07-19,12,6-12 months,2,2,6,0,0,0,0,0,1,0,2017,2016-07-23,2017-07-18,0,0,1710.0,0.03976608,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-1.0,2,2,2,1,2,0,0,0,0,2,54,,,-1.0,44.5,35,54,0,0,0.0,,16,5,15,0,1,1,2,1,1,1040.0,1040.0,2.0,1.0,0,1,12.0,12,12,0,5,1.8571428,3,0,7,0,1,0,0,12.0,12,12,0,5,1.8571428,3,0,7,0,94222,937,ACTIVE,Alexandria,VA,22311-4704,94222,Metro DC,B,Garden,suburban,West Alexandria,0,0,111,1208,1319,"Washington-Arlington-Alexandria, DC-VA-MD-WV",West Alexandria,0.9598,1628.0,0.0203,2016-Q3,2016-07-01,1711.0,1711.0,1.0391583869082408,1.0391583869082408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.8571428060531616,3.0,0.0,7.0,0.0,2.5,0.9285714030265808,1.5,0.0,3.5,0.0,2.0,1.7096153,1.0,1.407684098185699,0.0
2469482-1003,12 month lease,4436.0,2015-05-29,2016-05-15,,2012-05-01,2012-05-01,,,,False,,4436.0,0,0,1,2016-05-16,12,6-12 months,5,5,7,0,0,0,0,0,1,0,2016,2015-05-29,2016-05-15,0,0,4265.0,0.040093787,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,3,3,1,3,1,0,2,0.6666667,0.33333334,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,-1,-1,-1,,-1.0,-1.0,2,1,1,0,1,0,0,0,0,1,35,,,-1.0,36.5,35,38,1,2,203000.0,,13,4,21,1,1,0,0,4,9,633.0,633.0,1.0,1.0,1,4,11.25,11,12,2,31,1.1111112,21,0,36,0,4,0,1,11.25,11,12,2,27,1.125,18,0,32,0,12201,210,ACTIVE,New York,NY,10011-3221,12201,New York,A,High Rise,urban,Lower West Side,-1,-1,-1,-1,-1,"New York-White Plains, NY",Lower West Side,0.9823,3854.0,-0.0242,2015-Q2,2015-04-01,4293.0,4293.0,1.0333100395993478,1.0333100395993478,0.25,0.25,0.0833333333333333,0.25,0.0833333333333333,0.0,0.1666666666666666,0.0555555572112401,0.02777777860562,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75,0.28125,4.5,0.0,8.0,0.0,6.2,0.2222222328186035,4.2,0.0,7.2,0.0,1.0,7.007899,1.0,-0.0047619047619047,0.25
2308603-31879,13 month lease,1681.0,2017-09-25,2018-10-21,,2017-09-25,2017-09-25,,,,False,,1681.0,0,0,1,2018-10-22,13,1-3 years,1,9,4,1,0,0,0,0,1,0,2018,2017-09-25,2018-10-21,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,10.0,1.0,1.0,10.0,5.5,-1.0,-1.0,1,4,4,1,4,0,0,0,1.5,0.0,4,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,3362.0,-1.0,-1.0,2,2,2,0,2,0,1,1,0,2,25,,,-1.0,24.5,24,25,1,2,0.0,,23,7,19,1,1,0,1,4,3,981.0,981.0,1.0,1.0,-1,-1,-1.0,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,8,0,4,11.25,3,15,1,36,1.2127659,32,0,47,0,11014,180,ACTIVE,Baltimore,MD,21224-5222,11014,Baltimore,A,High Rise,urban,Baltimore City East,0,0,9,261,270,"Baltimore-Columbia-Towson, MD",Baltimore City East,0.927,1367.0,-0.0033,2017-Q3,2017-07-01,1815.5,1815.5,0.9259157256954008,0.9259157256954008,0.3076923076923077,0.3076923076923077,0.0769230769230769,0.3076923076923077,0.0,0.0,0.0,0.1153846153846153,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0769230769230769,0.1538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.1515957415103912,4.0,0.0,5.875,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.7135576,0.5,1.5,0.5
1042533-37392,12 month lease,1569.0,2020-06-01,2021-05-30,2020-08-30,2019-04-06,2019-04-06,2020-08-30,2020-07-01,,False,,1569.0,0,0,1,,11,6-12 months,2,19,2,0,0,0,0,0,1,1,2021,2020-06-01,2020-08-30,0,0,1448.0,0.08356354,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3036.78,2896.0,0.04861188,3,3,2,1,2,1,1,1,0,2,27,,,-1.0,27.5,27,28,1,2,0.0,,26,3,35,0,1,1,0,0,1,1222.0,1222.0,3.0,2.0,0,1,13.0,13,13,0,7,2.5714285,4,0,7,0,18,1,10,10.055555,3,14,3,83,1.6823529,45,0,85,8,18105,360,ACTIVE,Franklin,TN,37067-8529,18105,Nashville TN,B,Garden,suburban,Franklin/Brentwood,0,49,14,622,685,"Nashville-Davidson--Murfreesboro--Franklin, TN",Franklin/Brentwood,0.9468,1380.0,-0.0349,2020-Q2,2020-04-01,1562.0,1562.0,1.0044814340588988,1.0044814340588988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.611111111111111,0.0934640500280592,2.5,0.0,4.722222222222222,0.4444444444444444,3.5,1.2857142686843872,2.0,0.0,3.5,0.0,1.5,1.2839607,1.0,1.9027777777777777,0.6111111111111112
